Gene,total_variants,variants_with_any_failure,any_failure_rate,avg_predictors_failed,SIFT_failure_rate,PolyPhen_failure_rate,CADD_failure_rate,REVEL_failure_rate
TSG101,1,1,1.0,1.0,0.0,0.0,1.0,0.0
TSHB,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TSHZ1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
TSHZ2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TSKU,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TSNARE1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TSPAN12,3,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
TSPAN16,1,1,1.0,1.0,0.0,1.0,0.0,0.0
TSPAN17,1,1,1.0,1.0,0.0,0.0,1.0,0.0
TSPO,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TSPOAP1,3,1,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
TSPYL4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TSPYL5,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TSSC4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TSSK1B,2,1,0.5,1.0,0.5,0.5,0.0,0.0
TSSK3,2,2,1.0,3.0,1.0,1.0,1.0,0.0
TSSK4,1,1,1.0,1.0,1.0,0.0,0.0,0.0
TST,1,1,1.0,1.0,1.0,0.0,0.0,0.0
TSTD2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TTBK1,3,3,1.0,1.0,1.0,0.0,0.0,0.0
TTBK2,2,1,0.5,1.0,0.5,0.0,0.5,0.0
TTC12,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TTC16,1,1,1.0,1.0,1.0,0.0,0.0,0.0
TTC17,1,1,1.0,1.0,0.0,0.0,1.0,0.0
TTC21A,3,2,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
TTC21B,8,6,0.75,2.375,0.625,0.625,0.75,0.375
TTC23L,4,1,0.25,0.25,0.0,0.25,0.0,0.0
TTC27,3,3,1.0,2.6666666666666665,1.0,0.6666666666666666,1.0,0.0
TTC3,4,2,0.5,1.5,0.5,0.5,0.5,0.0
TTC36,1,1,1.0,3.0,1.0,1.0,1.0,0.0
TTC6,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TTC7A,5,2,0.4,1.0,0.2,0.2,0.2,0.4
TTC9,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TTC9B,1,1,1.0,1.0,0.0,0.0,1.0,0.0
TTF1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TTF2,3,1,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
TTI1,1,1,1.0,4.0,1.0,1.0,1.0,1.0
TTI2,1,1,1.0,2.0,0.0,1.0,0.0,1.0
TTLL10,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL12,3,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0
TTLL2,3,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0
TTLL3,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL4,4,3,0.75,1.75,0.75,0.5,0.5,0.0
TTLL5,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TTN,74,52,0.7027027027027027,1.6486486486486487,0.43243243243243246,0.5,0.5540540540540541,0.16216216216216217
TTPA,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TTR,24,13,0.5416666666666666,1.375,0.4583333333333333,0.3333333333333333,0.3333333333333333,0.25
TTYH2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TUBA1A,6,4,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0
TUBA8,1,1,1.0,4.0,1.0,1.0,1.0,1.0
TUBB3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
TUBG1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
TUBG2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TUBGCP2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TUBGCP6,3,0,0.0,0.0,0.0,0.0,0.0,0.0
TULP1,6,3,0.5,1.5,0.3333333333333333,0.5,0.16666666666666666,0.5
TULP2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
TULP4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TUT4,2,1,0.5,0.5,0.5,0.0,0.0,0.0
TVP23B,1,1,1.0,1.0,0.0,0.0,1.0,0.0
TWIST1,4,0,0.0,0.0,0.0,0.0,0.0,0.0
TWNK,15,8,0.5333333333333333,1.3333333333333333,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.3333333333333333
TXK,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TXLNB,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TXLNG,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TXNDC11,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TXNDC16,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TXNDC2,2,1,0.5,0.5,0.5,0.0,0.0,0.0
TXNDC8,1,1,1.0,2.0,1.0,1.0,0.0,0.0
TXNRD2,3,0,0.0,0.0,0.0,0.0,0.0,0.0
TYK2,3,2,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
TYMP,1,1,1.0,2.0,0.0,1.0,1.0,0.0
TYR,24,14,0.5833333333333334,1.125,0.375,0.3333333333333333,0.25,0.16666666666666666
TYRP1,2,1,0.5,0.5,0.5,0.0,0.0,0.0
U2AF1,5,1,0.2,0.4,0.0,0.2,0.0,0.2
U2AF2,1,1,1.0,1.0,0.0,0.0,0.0,1.0
UAP1,1,1,1.0,4.0,1.0,1.0,1.0,1.0
UAP1L1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UBA1,2,1,0.5,1.0,0.0,0.5,0.0,0.5
UBA2,2,1,0.5,0.5,0.0,0.0,0.5,0.0
UBA5,1,1,1.0,2.0,0.0,1.0,0.0,1.0
UBAP1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UBAP2,2,1,0.5,0.5,0.0,0.0,0.5,0.0
UBASH3A,2,2,1.0,1.5,0.0,0.5,1.0,0.0
